"","filename","rng_seed","species_initiation_rate_good_species","species_initiation_rate_incipient_species","speciation_completion_rate","extinction_rate_good_species","extinction_rate_incipient_species","age","n_species_trees_samples","mutation_rate","n_alignments","sequence_length","mcmc_chainlength","n_beast_runs","version"
"111","article_0_3_0_0_2.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.1","2","1e+05","1e+06","2","0.1"
"112","article_0_3_0_1_0.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.01","2","1000","1e+06","2","0.1"
"113","article_0_3_0_1_1.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.01","2","10000","1e+06","2","0.1"
"114","article_0_3_0_1_2.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.01","2","1e+05","1e+06","2","0.1"
"115","article_0_3_0_2_0.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.001","2","1000","1e+06","2","0.1"
"116","article_0_3_0_2_1.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.001","2","10000","1e+06","2","0.1"
"117","article_0_3_0_2_2.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.001","2","1e+05","1e+06","2","0.1"
"118","article_0_3_1_0_0.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.1","2","1000","1e+06","2","0.1"
"119","article_0_3_1_0_1.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.1","2","10000","1e+06","2","0.1"
"120","article_0_3_1_0_2.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.1","2","1e+05","1e+06","2","0.1"
"121","article_0_3_1_1_0.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.01","2","1000","1e+06","2","0.1"
"122","article_0_3_1_1_1.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.01","2","10000","1e+06","2","0.1"
"123","article_0_3_1_1_2.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.01","2","1e+05","1e+06","2","0.1"
"124","article_0_3_1_2_0.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.001","2","1000","1e+06","2","0.1"
"125","article_0_3_1_2_1.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.001","2","10000","1e+06","2","0.1"
"126","article_0_3_1_2_2.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.001","2","1e+05","1e+06","2","0.1"
"127","article_0_3_2_0_0.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.1","2","1000","1e+06","2","0.1"
"128","article_0_3_2_0_1.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.1","2","10000","1e+06","2","0.1"
"129","article_0_3_2_0_2.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.1","2","1e+05","1e+06","2","0.1"
"130","article_0_3_2_1_0.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.01","2","1000","1e+06","2","0.1"
"131","article_0_3_2_1_1.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.01","2","10000","1e+06","2","0.1"
"132","article_0_3_2_1_2.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.01","2","1e+05","1e+06","2","0.1"
"133","article_0_3_2_2_0.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.001","2","1000","1e+06","2","0.1"
"134","article_0_3_2_2_1.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.001","2","10000","1e+06","2","0.1"
"135","article_0_3_2_2_2.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.001","2","1e+05","1e+06","2","0.1"
"136","article_0_3_3_0_0.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.1","2","1000","1e+06","2","0.1"
"137","article_0_3_3_0_1.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.1","2","10000","1e+06","2","0.1"
"138","article_0_3_3_0_2.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.1","2","1e+05","1e+06","2","0.1"
"139","article_0_3_3_1_0.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.01","2","1000","1e+06","2","0.1"
"140","article_0_3_3_1_1.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.01","2","10000","1e+06","2","0.1"
"141","article_0_3_3_1_2.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.01","2","1e+05","1e+06","2","0.1"
"142","article_0_3_3_2_0.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.001","2","1000","1e+06","2","0.1"
"143","article_0_3_3_2_1.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.001","2","10000","1e+06","2","0.1"
"144","article_0_3_3_2_2.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.001","2","1e+05","1e+06","2","0.1"
"145","article_1_0_0_0_0.RDa","1","0.5","0.5","0.1","0","0","15","2","0.1","2","1000","1e+06","2","0.1"
"146","article_1_0_0_0_1.RDa","1","0.5","0.5","0.1","0","0","15","2","0.1","2","10000","1e+06","2","0.1"
"147","article_1_0_0_0_2.RDa","1","0.5","0.5","0.1","0","0","15","2","0.1","2","1e+05","1e+06","2","0.1"
"148","article_1_0_0_1_0.RDa","1","0.5","0.5","0.1","0","0","15","2","0.01","2","1000","1e+06","2","0.1"
"149","article_1_0_0_1_1.RDa","1","0.5","0.5","0.1","0","0","15","2","0.01","2","10000","1e+06","2","0.1"
"150","article_1_0_0_1_2.RDa","1","0.5","0.5","0.1","0","0","15","2","0.01","2","1e+05","1e+06","2","0.1"
"151","article_1_0_0_2_0.RDa","1","0.5","0.5","0.1","0","0","15","2","0.001","2","1000","1e+06","2","0.1"
"152","article_1_0_0_2_1.RDa","1","0.5","0.5","0.1","0","0","15","2","0.001","2","10000","1e+06","2","0.1"
"153","article_1_0_0_2_2.RDa","1","0.5","0.5","0.1","0","0","15","2","0.001","2","1e+05","1e+06","2","0.1"
"154","article_1_0_1_0_0.RDa","1","0.5","0.5","0.1","0.1","0.1","15","2","0.1","2","1000","1e+06","2","0.1"
